Entity	QRank	element	elementSymbol	atomicNo	elementLabel
Q1119	346626	http://www.wikidata.org/entity/Q1119	Hf	72	hafnium
Q1857	323003	http://www.wikidata.org/entity/Q1857	Lu	71	lutetium
Q1105	312574	http://www.wikidata.org/entity/Q1105	Np	93	neptunium
Q1819	294644	http://www.wikidata.org/entity/Q1819	Sm	62	samarium
Q1809	292373	http://www.wikidata.org/entity/Q1809	Pm	61	promethium
Q1876	288615	http://www.wikidata.org/entity/Q1876	Cm	96	curium
Q1396	285909	http://www.wikidata.org/entity/Q1396	Eu	63	europium
Q1304	277878	http://www.wikidata.org/entity/Q1304	Lv	116	livermorium
Q1278	275341	http://www.wikidata.org/entity/Q1278	Cn	112	copernicium
Q1121	270054	http://www.wikidata.org/entity/Q1121	Ac	89	actinium
Q1302	268889	http://www.wikidata.org/entity/Q1302	Fl	114	flerovium
Q1855	254250	http://www.wikidata.org/entity/Q1855	Yb	70	ytterbium
Q1905	253790	http://www.wikidata.org/entity/Q1905	Lr	103	lawrencium
Q1226	251615	http://www.wikidata.org/entity/Q1226	Rf	104	rutherfordium
Q1272	249495	http://www.wikidata.org/entity/Q1272	Rg	111	roentgenium
Q1386	246795	http://www.wikidata.org/entity/Q1386	Pr	59	praseodymium
Q1843	240857	http://www.wikidata.org/entity/Q1843	Dy	66	dysprosium
Q1109	233837	http://www.wikidata.org/entity/Q1109	Pa	91	protactinium
Q1234	233798	http://www.wikidata.org/entity/Q1234	Sg	106	seaborgium
Q1258	228693	http://www.wikidata.org/entity/Q1258	Mt	109	meitnerium
Q1266	223951	http://www.wikidata.org/entity/Q1266	Ds	110	darmstadtium
Q1849	221502	http://www.wikidata.org/entity/Q1849	Er	68	erbium
Q1853	217604	http://www.wikidata.org/entity/Q1853	Tm	69	thulium
Q1896	213940	http://www.wikidata.org/entity/Q1896	Fm	100	fermium
Q1846	208054	http://www.wikidata.org/entity/Q1846	Ho	67	holmium
