Entity	QRank	element	elementSymbol	elementLabel	minDiscovery
Q1857	323003	http://www.wikidata.org/entity/Q1857	Lu	lutetium	1906.0
Q1105	312574	http://www.wikidata.org/entity/Q1105	Np	neptunium	1940.0
Q1819	294644	http://www.wikidata.org/entity/Q1819	Sm	samarium	1879.0
Q1809	292373	http://www.wikidata.org/entity/Q1809	Pm	promethium	1945.0
Q1876	288615	http://www.wikidata.org/entity/Q1876	Cm	curium	1944.0
Q1396	285909	http://www.wikidata.org/entity/Q1396	Eu	europium	1901.0
Q1304	277878	http://www.wikidata.org/entity/Q1304	Lv	livermorium	2000.0
Q1278	275341	http://www.wikidata.org/entity/Q1278	Cn	copernicium	1996.0
Q1121	270054	http://www.wikidata.org/entity/Q1121	Ac	actinium	1899.0
Q1302	268889	http://www.wikidata.org/entity/Q1302	Fl	flerovium	1999.0
Q1855	254250	http://www.wikidata.org/entity/Q1855	Yb	ytterbium	1878.0
Q1905	253790	http://www.wikidata.org/entity/Q1905	Lr	lawrencium	1961.0
Q1226	251615	http://www.wikidata.org/entity/Q1226	Rf	rutherfordium	1964.0
Q1272	249495	http://www.wikidata.org/entity/Q1272	Rg	roentgenium	1994.0
Q1386	246795	http://www.wikidata.org/entity/Q1386	Pr	praseodymium	1841.0
Q1843	240857	http://www.wikidata.org/entity/Q1843	Dy	dysprosium	1886.0
Q1109	233837	http://www.wikidata.org/entity/Q1109	Pa	protactinium	1917.0
Q1234	233798	http://www.wikidata.org/entity/Q1234	Sg	seaborgium	1974.0
Q1258	228693	http://www.wikidata.org/entity/Q1258	Mt	meitnerium	1982.0
Q1266	223951	http://www.wikidata.org/entity/Q1266	Ds	darmstadtium	1994.0
Q1849	221502	http://www.wikidata.org/entity/Q1849	Er	erbium	1843.0
Q1853	217604	http://www.wikidata.org/entity/Q1853	Tm	thulium	1879.0
Q1896	213940	http://www.wikidata.org/entity/Q1896	Fm	fermium	1952.0
Q1846	208054	http://www.wikidata.org/entity/Q1846	Ho	holmium	1878.0
Q1901	207144	http://www.wikidata.org/entity/Q1901	No	nobelium	1958.0
Q1838	203850	http://www.wikidata.org/entity/Q1838	Tb	terbium	1843.0
Q1232	198585	http://www.wikidata.org/entity/Q1232	Db	dubnium	1970.0
Q1252	195462	http://www.wikidata.org/entity/Q1252	Hs	hassium	1984.0
Q1898	184809	http://www.wikidata.org/entity/Q1898	Md	mendelevium	1955.0
Q1249	174889	http://www.wikidata.org/entity/Q1249	Bh	bohrium	1976.0
Q1882	174301	http://www.wikidata.org/entity/Q1882	Bk	berkelium	1949.0
