Entity	QRank	person	personLabel	dob
Q458541	1378542	http://www.wikidata.org/entity/Q458541	Annabel Croft	1966.0
Q24312969	1377429	http://www.wikidata.org/entity/Q24312969	Lashana Lynch	1987.0
Q219782	1362174	http://www.wikidata.org/entity/Q219782	Dusty Springfield	1939.0
Q464052	1349954	http://www.wikidata.org/entity/Q464052	Samantha Fox	1966.0
Q3339764	1343723	http://www.wikidata.org/entity/Q3339764	Nick Knight	1958.0
Q432743	1331982	http://www.wikidata.org/entity/Q432743	Gavin Rossdale	1965.0
Q156586	1301573	http://www.wikidata.org/entity/Q156586	Naomie Harris	1976.0
Q5209722	1274861	http://www.wikidata.org/entity/Q5209722	Daisy Head	1991.0
Q312559	1269137	http://www.wikidata.org/entity/Q312559	Bill Wyman	1936.0
Q15040601	1261498	http://www.wikidata.org/entity/Q15040601	Lisa Vanderpump	1960.0
Q232163	1261160	http://www.wikidata.org/entity/Q232163	Natalia Tena	1984.0
Q206939	1251180	http://www.wikidata.org/entity/Q206939	Elvis Costello	1954.0
Q16207879	1224035	http://www.wikidata.org/entity/Q16207879	Emerald Fennell	1985.0
Q372788	1220921	http://www.wikidata.org/entity/Q372788	Jonathan Nolan	1976.0
Q15821798	1218361	http://www.wikidata.org/entity/Q15821798	Joseph Joyce	1985.0
Q26933	1204685	http://www.wikidata.org/entity/Q26933	Pete Townshend	1945.0
Q359665	1202359	http://www.wikidata.org/entity/Q359665	David Walliams	1971.0
Q40103	1196329	http://www.wikidata.org/entity/Q40103	Toby Stephens	1969.0
Q313462	1162316	http://www.wikidata.org/entity/Q313462	Joseph Morgan	1981.0
Q1699385	1161837	http://www.wikidata.org/entity/Q1699385	John Boyega	1992.0
Q42416276	1160732	http://www.wikidata.org/entity/Q42416276	Lauren James	2001.0
Q230939	1158175	http://www.wikidata.org/entity/Q230939	Catherine Bell	1968.0
Q523140	1149348	http://www.wikidata.org/entity/Q523140	Margaret Tudor	1489.0
Q1852090	1142381	http://www.wikidata.org/entity/Q1852090	Tobias Menzies	1974.0
Q264969	1141187	http://www.wikidata.org/entity/Q264969	Georgia Tennant	1984.0
Q264740	1140614	http://www.wikidata.org/entity/Q264740	Jade Goody	1981.0
Q3103793	1131262	http://www.wikidata.org/entity/Q3103793	Georgina Chapman	1976.0
Q3180025	1126094	http://www.wikidata.org/entity/Q3180025	Joe Cole Lopez	1988.0
Q107656	1105588	http://www.wikidata.org/entity/Q107656	Jean Simmons	1929.0
Q234430	1100079	http://www.wikidata.org/entity/Q234430	Freema Agyeman	1979.0
Q16149172	1094284	http://www.wikidata.org/entity/Q16149172	Alexander Albon	1996.0
Q1320782	1093873	http://www.wikidata.org/entity/Q1320782	Rory Kinnear	1978.0
Q3215817	1060069	http://www.wikidata.org/entity/Q3215817	Lachlan Murdoch	1971.0
Q315408	1050256	http://www.wikidata.org/entity/Q315408	Peter Green	1946.0
Q190251	1044365	http://www.wikidata.org/entity/Q190251	Richard Wright	1943.0
Q229108	1027889	http://www.wikidata.org/entity/Q229108	Anna Popplewell	1988.0
Q283988	1024517	http://www.wikidata.org/entity/Q283988	Roddy McDowall	1928.0
Q593671	1021261	http://www.wikidata.org/entity/Q593671	John Spencer, 8th Earl Spencer	1924.0
Q2593	1018095	http://www.wikidata.org/entity/Q2593	Matthew Vaughn	1971.0
Q314039	1011972	http://www.wikidata.org/entity/Q314039	Terry Venables	1943.0
Q336131	1002314	http://www.wikidata.org/entity/Q336131	Scott Speedman	1975.0
Q271177	974348	http://www.wikidata.org/entity/Q271177	Harriet Walter	1950.0
Q5683	973712	http://www.wikidata.org/entity/Q5683	Geoffrey Chaucer	1343.0
Q2058704	957072	http://www.wikidata.org/entity/Q2058704	Paul Anderson	1978.0
Q26704644	947283	http://www.wikidata.org/entity/Q26704644	Natasia Demetriou	1984.0
Q238864	946965	http://www.wikidata.org/entity/Q238864	Sophie Okonedo	1968.0
Q4881743	938059	http://www.wikidata.org/entity/Q4881743	Bel Powley	1992.0
Q1190693	936325	http://www.wikidata.org/entity/Q1190693	Jack Huston	1982.0
Q264724	925827	http://www.wikidata.org/entity/Q264724	Nigella Lawson	1960.0
Q294586	918011	http://www.wikidata.org/entity/Q294586	Adewale Akinnuoye-Agbaje	1967.0
Q331287	910689	http://www.wikidata.org/entity/Q331287	Charles Spencer, 9th Earl Spencer	1964.0
Q232945	904925	http://www.wikidata.org/entity/Q232945	Marina Sirtis	1955.0
Q82006	898703	http://www.wikidata.org/entity/Q82006	Benjamin Disraeli	1804.0
Q40946	895077	http://www.wikidata.org/entity/Q40946	Daniel Defoe	1660.0
Q16730400	895048	http://www.wikidata.org/entity/Q16730400	Emilia Jones	2002.0
Q714845	885917	http://www.wikidata.org/entity/Q714845	The Edge	1961.0
Q816568	879786	http://www.wikidata.org/entity/Q816568	Ben Miller	1966.0
Q439365	873102	http://www.wikidata.org/entity/Q439365	Stacey Solomon	1989.0
Q1790	870641	http://www.wikidata.org/entity/Q1790	Kim Wilde	1960.0
Q60887	866279	http://www.wikidata.org/entity/Q60887	Jeremy Bentham	1748.0
Q2327154	860180	http://www.wikidata.org/entity/Q2327154	Claudia Winkleman	1972.0
Q250250	855167	http://www.wikidata.org/entity/Q250250	Alfred Enoch	1988.0
Q1535775	848077	http://www.wikidata.org/entity/Q1535775	Ruth Kearney	1984.0
Q18162913	846185	http://www.wikidata.org/entity/Q18162913	Callum Turner	1990.0
Q207036	843250	http://www.wikidata.org/entity/Q207036	A. A. Milne	1882.0
Q724791	842343	http://www.wikidata.org/entity/Q724791	Jack Osbourne	1985.0
Q1582005	792162	http://www.wikidata.org/entity/Q1582005	Eleanor Tomlinson	1992.0
Q182104	789834	http://www.wikidata.org/entity/Q182104	Jessica Tandy	1909.0
Q195616	787685	http://www.wikidata.org/entity/Q195616	Shashi Tharoor	1956.0
Q183519	786141	http://www.wikidata.org/entity/Q183519	Leona Lewis	1985.0
Q310012	784555	http://www.wikidata.org/entity/Q310012	James Fox	1939.0
Q231637	783426	http://www.wikidata.org/entity/Q231637	Asma al-Assad	1975.0
Q182589	782360	http://www.wikidata.org/entity/Q182589	William Morris	1834.0
Q6073899	778865	http://www.wikidata.org/entity/Q6073899	Ol Parker	1969.0
Q24900882	773445	http://www.wikidata.org/entity/Q24900882	Jacob Collier	1994.0
Q63993432	750016	http://www.wikidata.org/entity/Q63993432	T'Nia Miller	1985.0
Q363400	741040	http://www.wikidata.org/entity/Q363400	Nick Frost	1972.0
Q332670	737743	http://www.wikidata.org/entity/Q332670	Marty Feldman	1934.0
Q30161661	733715	http://www.wikidata.org/entity/Q30161661	Finn Cole	1995.0
Q512577	730002	http://www.wikidata.org/entity/Q512577	Jim Sturgess	1978.0
Q24207153	729732	http://www.wikidata.org/entity/Q24207153	Bishop Briggs	1992.0
Q345517	723393	http://www.wikidata.org/entity/Q345517	Peter Lawford	1923.0
Q706475	720279	http://www.wikidata.org/entity/Q706475	Steve McQueen	1969.0
Q184946	715794	http://www.wikidata.org/entity/Q184946	Joe Cole	1981.0
Q350362	714944	http://www.wikidata.org/entity/Q350362	James Blake	1988.0
Q924821	710033	http://www.wikidata.org/entity/Q924821	Stephen Campbell Moore	1979.0
Q554412	706203	http://www.wikidata.org/entity/Q554412	Douglas Booth	1992.0
Q27909736	705924	http://www.wikidata.org/entity/Q27909736	Dave	1998.0
Q193357	695752	http://www.wikidata.org/entity/Q193357	Daphne du Maurier	1907.0
Q288627	695527	http://www.wikidata.org/entity/Q288627	Anne Perry	1938.0
Q266361	691500	http://www.wikidata.org/entity/Q266361	Olivia d'Abo	1969.0
Q405565	689654	http://www.wikidata.org/entity/Q405565	Aimee Osbourne	1983.0
Q1383000	673652	http://www.wikidata.org/entity/Q1383000	Poppy Delevingne	1986.0
Q453313	673479	http://www.wikidata.org/entity/Q453313	Rachael Stirling	1977.0
Q434354	669394	http://www.wikidata.org/entity/Q434354	Alex Scott	1984.0
Q444988	665104	http://www.wikidata.org/entity/Q444988	Juliet Mills	1941.0
Q542634	662443	http://www.wikidata.org/entity/Q542634	Alex Garland	1970.0
Q201739	661479	http://www.wikidata.org/entity/Q201739	Mary McCartney	1969.0
Q179126	660744	http://www.wikidata.org/entity/Q179126	John Ruskin	1819.0
Q163211	660328	http://www.wikidata.org/entity/Q163211	Lita Ford	1958.0
Q7285320	647818	http://www.wikidata.org/entity/Q7285320	Raj Kundra	1975.0
Q29641189	639923	http://www.wikidata.org/entity/Q29641189	Matilda Ramsay	2001.0
Q118817	638334	http://www.wikidata.org/entity/Q118817	Joe Wright	1972.0
Q232840	629973	http://www.wikidata.org/entity/Q232840	Honor Blackman	1925.0
Q140412	623006	http://www.wikidata.org/entity/Q140412	John Donne	1572.0
Q122473	622160	http://www.wikidata.org/entity/Q122473	Charles Shaughnessy	1955.0
Q144589	620969	http://www.wikidata.org/entity/Q144589	Zak Starkey	1965.0
Q28110100	611842	http://www.wikidata.org/entity/Q28110100	Joe Fournier	1983.0
Q21622285	606943	http://www.wikidata.org/entity/Q21622285	Will Ospreay	1993.0
Q3814008	598809	http://www.wikidata.org/entity/Q3814008	Katy Saunders	1984.0
Q133682	595254	http://www.wikidata.org/entity/Q133682	Howard Carter	1874.0
Q568295	590603	http://www.wikidata.org/entity/Q568295	Liz Cambage	1991.0
Q28033291	581792	http://www.wikidata.org/entity/Q28033291	Fola Evans-Akingbola	1994.0
Q1377608	575266	http://www.wikidata.org/entity/Q1377608	Sean Pertwee	1964.0
Q113193951	574539	http://www.wikidata.org/entity/Q113193951	Zara McDermott	1996.0
Q173246	574267	http://www.wikidata.org/entity/Q173246	Max Mosley	1940.0
Q183105	571507	http://www.wikidata.org/entity/Q183105	Randolph Churchill	1911.0
Q7087854	571293	http://www.wikidata.org/entity/Q7087854	Oliver Stark	1991.0
Q148669	570893	http://www.wikidata.org/entity/Q148669	Ida Lupino	1918.0
Q192094	569766	http://www.wikidata.org/entity/Q192094	Steve Harris	1956.0
Q4681497	567127	http://www.wikidata.org/entity/Q4681497	Adeel Akhtar	1980.0
Q26419	566631	http://www.wikidata.org/entity/Q26419	Justin Welby	1956.0
Q241665	565428	http://www.wikidata.org/entity/Q241665	Rachel Stevens	1978.0
Q269835	562537	http://www.wikidata.org/entity/Q269835	Eileen Atkins	1934.0
Q3295485	561090	http://www.wikidata.org/entity/Q3295485	Martin Kemp	1961.0
Q156178	557274	http://www.wikidata.org/entity/Q156178	Leslie Howard	1893.0
Q359210	555964	http://www.wikidata.org/entity/Q359210	Rupert Penry-Jones	1970.0
Q30323763	555246	http://www.wikidata.org/entity/Q30323763	Penelope Knatchbull, Countess Mountbatten of Burma	1953.0
Q279305	555166	http://www.wikidata.org/entity/Q279305	Anthony Horowitz	1955.0
Q467362	553476	http://www.wikidata.org/entity/Q467362	Sophie Thompson	1962.0
Q160270	551886	http://www.wikidata.org/entity/Q160270	David Ricardo	1772.0
Q22005379	549609	http://www.wikidata.org/entity/Q22005379	Hugh Grosvenor, 7th Duke of Westminster	1991.0
Q5368467	545687	http://www.wikidata.org/entity/Q5368467	Elyes Gabel	1983.0
Q575733	539441	http://www.wikidata.org/entity/Q575733	Priti Patel	1972.0
Q238356	531259	http://www.wikidata.org/entity/Q238356	Samantha Bond	1961.0
Q2406771	531205	http://www.wikidata.org/entity/Q2406771	Eve Best	1971.0
Q498390	529577	http://www.wikidata.org/entity/Q498390	James McCartney	1977.0
Q43170911	529432	http://www.wikidata.org/entity/Q43170911	Leo Suter	1993.0
Q1029010	524584	http://www.wikidata.org/entity/Q1029010	Guy Chambers	1963.0
Q272567	524288	http://www.wikidata.org/entity/Q272567	Julia Sawalha	1968.0
Q326438	522089	http://www.wikidata.org/entity/Q326438	Dennis Wise	1966.0
Q563177	521935	http://www.wikidata.org/entity/Q563177	Noah Taylor	1969.0
Q935340	521035	http://www.wikidata.org/entity/Q935340	Dan Houser	1974.0
Q1677416	518703	http://www.wikidata.org/entity/Q1677416	Jacob Anderson	1990.0
Q446605	518391	http://www.wikidata.org/entity/Q446605	Bernard Cornwell	1944.0
Q27535227	517042	http://www.wikidata.org/entity/Q27535227	Fionn Whitehead	1997.0
Q189119	516327	http://www.wikidata.org/entity/Q189119	E. M. Forster	1879.0
Q312649	515398	http://www.wikidata.org/entity/Q312649	David Haye	1980.0
Q943790	514720	http://www.wikidata.org/entity/Q943790	Frank Dillane	1991.0
Q380178	514392	http://www.wikidata.org/entity/Q380178	Harry Lloyd	1983.0
Q621522	511416	http://www.wikidata.org/entity/Q621522	Jake Weber	1964.0
Q2209781	509878	http://www.wikidata.org/entity/Q2209781	Lucy Hawking	1970.0
Q240324	509139	http://www.wikidata.org/entity/Q240324	Paloma Faith	1981.0
Q5572307	508423	http://www.wikidata.org/entity/Q5572307	Gluck	1895.0
Q107975978	507158	http://www.wikidata.org/entity/Q107975978	Toheeb Jimoh	1997.0
Q5290554	502733	http://www.wikidata.org/entity/Q5290554	Dominic Holland	1967.0
Q532417	502221	http://www.wikidata.org/entity/Q532417	China Chow	1974.0
Q3014680	491861	http://www.wikidata.org/entity/Q3014680	Daniel Sharman	1986.0
Q23731540	490919	http://www.wikidata.org/entity/Q23731540	Tilly Keeper	1997.0
Q229156	490524	http://www.wikidata.org/entity/Q229156	Michael Sheen	1980.0
Q184499	490053	http://www.wikidata.org/entity/Q184499	Patrick Blackett	1897.0
Q707739	486774	http://www.wikidata.org/entity/Q707739	Chris Larkin	1967.0
Q1250743	484501	http://www.wikidata.org/entity/Q1250743	Adam Sami	1971.0
Q164750	482563	http://www.wikidata.org/entity/Q164750	Jony Ive	1967.0
Q708256	481160	http://www.wikidata.org/entity/Q708256	Ben Cross	1947.0
Q230143	481093	http://www.wikidata.org/entity/Q230143	Margaret Rutherford	1892.0
Q182486	481032	http://www.wikidata.org/entity/Q182486	Greer Garson	1904.0
Q22072	480931	http://www.wikidata.org/entity/Q22072	John Farnham	1949.0
Q293114	480817	http://www.wikidata.org/entity/Q293114	Sophie Dahl	1977.0
Q866860	479853	http://www.wikidata.org/entity/Q866860	Daisy Lowe	1989.0
Q325742	477822	http://www.wikidata.org/entity/Q325742	Justin Pierce	1975.0
Q7421735	476472	http://www.wikidata.org/entity/Q7421735	Sara Pascoe	1981.0
Q271597	476172	http://www.wikidata.org/entity/Q271597	Victoria Tennant	1950.0
Q56876940	470567	http://www.wikidata.org/entity/Q56876940	Kirby Howell-Baptiste	1987.0
Q333533	469556	http://www.wikidata.org/entity/Q333533	Jeremy Hunt	1966.0
Q56523534	465638	http://www.wikidata.org/entity/Q56523534	Lina M. Khan	1989.0
Q319986	464319	http://www.wikidata.org/entity/Q319986	David Heyman	1961.0
Q1175569	463806	http://www.wikidata.org/entity/Q1175569	David Mayer de Rothschild	1978.0
Q436719	463147	http://www.wikidata.org/entity/Q436719	Patrick Macnee	1922.0
Q107359013	462136	http://www.wikidata.org/entity/Q107359013	Oli London	1990.0
Q209152	457330	http://www.wikidata.org/entity/Q209152	William Penn	1644.0
Q41042	457088	http://www.wikidata.org/entity/Q41042	Harold Pinter	1930.0
Q15744507	452541	http://www.wikidata.org/entity/Q15744507	Jess Glynne	1989.0
Q189132	451969	http://www.wikidata.org/entity/Q189132	Sophie Monk	1979.0
Q7422354	451931	http://www.wikidata.org/entity/Q7422354	Sarah Greene	1957.0
Q902113	449487	http://www.wikidata.org/entity/Q902113	Sean Teale	1992.0
Q665139	448624	http://www.wikidata.org/entity/Q665139	Noel Clarke	1975.0
Q31836104	447304	http://www.wikidata.org/entity/Q31836104	Anna Ermakova	2000.0
Q26132392	446743	http://www.wikidata.org/entity/Q26132392	Damian Hurley	2002.0
Q55956247	446614	http://www.wikidata.org/entity/Q55956247	Freya Ridings	1994.0
Q5277871	442688	http://www.wikidata.org/entity/Q5277871	Dina Wadia	1919.0
Q140052	442591	http://www.wikidata.org/entity/Q140052	Zadie Smith	1975.0
Q2459143	442572	http://www.wikidata.org/entity/Q2459143	Georgia May Jagger	1992.0
Q51319	438875	http://www.wikidata.org/entity/Q51319	Glen Matlock	1956.0
Q7491731	438587	http://www.wikidata.org/entity/Q7491731	Shazad Latif	1988.0
Q22277473	435174	http://www.wikidata.org/entity/Q22277473	Jack Cutmore-Scott	1987.0
Q201484	429671	http://www.wikidata.org/entity/Q201484	John Dee	1527.0
