Entity	QRank	species	speciesLabel	unit	unitLabel	maxMass
Q130933	1047802	http://www.wikidata.org/entity/Q130933	Eurasian Eagle-owl	http://www.wikidata.org/entity/Q11570	gram	2992.0
Q25385	1011117	http://www.wikidata.org/entity/Q25385	Common Buzzard	http://www.wikidata.org/entity/Q41803	gram	966.5
Q44299	1006505	http://www.wikidata.org/entity/Q44299	coyote	http://www.wikidata.org/entity/Q41803	gram	262.5
Q29995	996030	http://www.wikidata.org/entity/Q29995	Eurasian otter	http://www.wikidata.org/entity/Q41803	gram	110.0
Q25273	989102	http://www.wikidata.org/entity/Q25273	Grey Heron	http://www.wikidata.org/entity/Q41803	gram	61.0
Q184389	987440	http://www.wikidata.org/entity/Q184389	Chrysocyon brachyurus	http://www.wikidata.org/entity/Q11570	gram	23000.0
Q26490	977504	http://www.wikidata.org/entity/Q26490	Common Kestrel	http://www.wikidata.org/entity/Q41803	gram	201.0
Q26349	961148	http://www.wikidata.org/entity/Q26349	Song Thrush	http://www.wikidata.org/entity/Q41803	gram	72.0
Q25377	959756	http://www.wikidata.org/entity/Q25377	Common Swift	http://www.wikidata.org/entity/Q41803	gram	3.5
Q276290	942725	http://www.wikidata.org/entity/Q276290	naked mole-rat	http://www.wikidata.org/entity/Q41803	gram	33.9
Q25317	941354	http://www.wikidata.org/entity/Q25317	Western Barn Owl	http://www.wikidata.org/entity/Q41803	gram	580.0
Q26026	930530	http://www.wikidata.org/entity/Q26026	Common Wood Pigeon	http://www.wikidata.org/entity/Q41803	gram	18.9
Q46212	906701	http://www.wikidata.org/entity/Q46212	aardvark	http://www.wikidata.org/entity/Q11570	gram	1900.0
Q25404	900107	http://www.wikidata.org/entity/Q25404	Eurasian Blue Tit	http://www.wikidata.org/entity/Q41803	gram	11.8
Q26209	899674	http://www.wikidata.org/entity/Q26209	Great Spotted Woodpecker	http://www.wikidata.org/entity/Q41803	gram	89.0
Q221612	888819	http://www.wikidata.org/entity/Q221612	Marmota monax	http://www.wikidata.org/entity/Q41803	gram	27.0
Q220328	880866	http://www.wikidata.org/entity/Q220328	Grey Parrot	http://www.wikidata.org/entity/Q41803	gram	18.7
Q26733	879059	http://www.wikidata.org/entity/Q26733	Canada Goose	http://www.wikidata.org/entity/Q11570	gram	5000.0
Q25438	871808	http://www.wikidata.org/entity/Q25438	White-tailed Eagle	http://www.wikidata.org/entity/Q11570	gram	5572.0
Q26685	860626	http://www.wikidata.org/entity/Q26685	Atlantic Puffin	http://www.wikidata.org/entity/Q41803	gram	376.0
Q28358	853724	http://www.wikidata.org/entity/Q28358	Common Quail	http://www.wikidata.org/entity/Q41803	gram	8.2
Q159857	851052	http://www.wikidata.org/entity/Q159857	fallow deer	http://www.wikidata.org/entity/Q11570	gram	5000.0
Q25380	849974	http://www.wikidata.org/entity/Q25380	Eurasian Sparrowhawk	http://www.wikidata.org/entity/Q41803	gram	290.0
Q133006	844988	http://www.wikidata.org/entity/Q133006	Asian elephant	http://www.wikidata.org/entity/Q11570	gram	95000.0
Q25386	802473	http://www.wikidata.org/entity/Q25386	Rook	http://www.wikidata.org/entity/Q41803	gram	489.0
Q25382	788245	http://www.wikidata.org/entity/Q25382	Eurasian Bullfinch	http://www.wikidata.org/entity/Q41803	gram	31.0
Q25388	785624	http://www.wikidata.org/entity/Q25388	Eurasian Golden Oriole	http://www.wikidata.org/entity/Q41803	gram	7.3
Q183330	783018	http://www.wikidata.org/entity/Q183330	Cryptoprocta ferox	http://www.wikidata.org/entity/Q11570	gram	9500.0
Q54696	782996	http://www.wikidata.org/entity/Q54696	Eurasian Collared Dove	http://www.wikidata.org/entity/Q41803	gram	193.0
Q156250	779255	http://www.wikidata.org/entity/Q156250	red kite	http://www.wikidata.org/entity/Q11570	gram	1232.0
Q129059	763434	http://www.wikidata.org/entity/Q129059	Western Capercaillie	http://www.wikidata.org/entity/Q11570	gram	3800.0
Q126167	726323	http://www.wikidata.org/entity/Q126167	bearded vulture	http://www.wikidata.org/entity/Q11570	gram	6175.0
Q25440	722135	http://www.wikidata.org/entity/Q25440	Great Cormorant	http://www.wikidata.org/entity/Q11570	gram	2400.0
Q25353	719450	http://www.wikidata.org/entity/Q25353	Eurasian Goshawk	http://www.wikidata.org/entity/Q11570	gram	1140.0
Q25756	697244	http://www.wikidata.org/entity/Q25756	Tawny Owl	http://www.wikidata.org/entity/Q41803	gram	524.0
Q27075785	696409	http://www.wikidata.org/entity/Q27075785	European Greenfinch	http://www.wikidata.org/entity/Q41803	gram	2.17
Q185939	693387	http://www.wikidata.org/entity/Q185939	gibbon	http://www.wikidata.org/entity/Q11570	gram	8500.0
Q203033	690347	http://www.wikidata.org/entity/Q203033	giant anteater	http://www.wikidata.org/entity/Q11570	gram	1350.0
Q156767	686918	http://www.wikidata.org/entity/Q156767	Eurasian Nuthatch	http://www.wikidata.org/entity/Q41803	gram	23.0
Q655616	676871	http://www.wikidata.org/entity/Q655616	Varanus salvator	http://www.wikidata.org/entity/Q41803	gram	2280.0
Q80362	675212	http://www.wikidata.org/entity/Q80362	black kite	http://www.wikidata.org/entity/Q41803	gram	828.0
Q189193	667047	http://www.wikidata.org/entity/Q189193	great auk	http://www.wikidata.org/entity/Q11570	gram	5000.0
Q166171	661854	http://www.wikidata.org/entity/Q166171	European Green Woodpecker	http://www.wikidata.org/entity/Q41803	gram	193.0
Q200339	657008	http://www.wikidata.org/entity/Q200339	Mandarin Duck	http://www.wikidata.org/entity/Q41803	gram	41.0
Q242851	632968	http://www.wikidata.org/entity/Q242851	Muscovy Duck	http://www.wikidata.org/entity/Q11570	gram	3000.0
Q25402	629832	http://www.wikidata.org/entity/Q25402	Mute Swan	http://www.wikidata.org/entity/Q11570	gram	11800.0
Q204814	619600	http://www.wikidata.org/entity/Q204814	black-footed cat	http://www.wikidata.org/entity/Q41803	gram	74.0
Q188657	616382	http://www.wikidata.org/entity/Q188657	striped hyena	http://www.wikidata.org/entity/Q11570	gram	40000.0
Q25376	608084	http://www.wikidata.org/entity/Q25376	Common Coot	http://www.wikidata.org/entity/Q41803	gram	835.0
Q168748	589901	http://www.wikidata.org/entity/Q168748	Secretarybird	http://www.wikidata.org/entity/Q11570	gram	4052.0
