Entity	QRank	item	itemLabel	unitLabel	unit	maxHeight
Q6743391	8	http://www.wikidata.org/entity/Q6743391	Malibu	metre	http://www.wikidata.org/entity/Q11573	78.0288
Q26700322	8	http://www.wikidata.org/entity/Q26700322	Hotel Omni Mont-Royal	metre	http://www.wikidata.org/entity/Q11573	104.0
Q26700322	8	http://www.wikidata.org/entity/Q26700322	Hotel Omni Mont-Royal	meter	http://www.wikidata.org/entity/Q3710	103.9367966740225
Q109233772	8	http://www.wikidata.org/entity/Q109233772	The Spine, Liverpool	metre	http://www.wikidata.org/entity/Q11573	65.0
Q110954364	8	http://www.wikidata.org/entity/Q110954364	Torre de las Mercedes	metre	http://www.wikidata.org/entity/Q11573	70.0
Q111366469	7	http://www.wikidata.org/entity/Q111366469	Aon Centre	metre	http://www.wikidata.org/entity/Q11573	92.0
Q111397980	7	http://www.wikidata.org/entity/Q111397980	Crombie Lockwood Tower	metre	http://www.wikidata.org/entity/Q11573	92.0
Q118829785	7	http://www.wikidata.org/entity/Q118829785	Mansudae Apartment 2#	metre	http://www.wikidata.org/entity/Q11573	146.3
Q118830175	7	http://www.wikidata.org/entity/Q118830175	Mansudae Apartment 9#A	metre	http://www.wikidata.org/entity/Q11573	100.9
Q118835356	7	http://www.wikidata.org/entity/Q118835356	Mansudae Apartment 8#B	metre	http://www.wikidata.org/entity/Q11573	110.0
Q118835364	7	http://www.wikidata.org/entity/Q118835364	Mansudae Apartment 9#B	metre	http://www.wikidata.org/entity/Q11573	110.0
Q123023645	7	http://www.wikidata.org/entity/Q123023645	Nakano Sakaue Sun Bright Twin	metre	http://www.wikidata.org/entity/Q11573	134.0
Q105077323	6	http://www.wikidata.org/entity/Q105077323	Fars Tower	metre	http://www.wikidata.org/entity/Q11573	150.0
Q106622723	6	http://www.wikidata.org/entity/Q106622723	Atlantis Building, Guatemala City	metre	http://www.wikidata.org/entity/Q11573	70.0
Q29837913	5	http://www.wikidata.org/entity/Q29837913	Q29837913	metre	http://www.wikidata.org/entity/Q11573	210.0
Q118829927	5	http://www.wikidata.org/entity/Q118829927	Mansudae Apartment 5#	metre	http://www.wikidata.org/entity/Q11573	104.0
Q110453003	4	http://www.wikidata.org/entity/Q110453003	Pan Am Tower	meter	http://www.wikidata.org/entity/Q3710	48.92954243425464
Q111362942	4	http://www.wikidata.org/entity/Q111362942	1 Queen Street	metre	http://www.wikidata.org/entity/Q11573	138.0
Q111367428	4	http://www.wikidata.org/entity/Q111367428	Voco Hotel & Holiday Inn	metre	http://www.wikidata.org/entity/Q11573	135.0
Q66048529	3	http://www.wikidata.org/entity/Q66048529	Place Sherbrooke	meter	http://www.wikidata.org/entity/Q3710	104.00080467197424
Q66048529	3	http://www.wikidata.org/entity/Q66048529	Place Sherbrooke	metre	http://www.wikidata.org/entity/Q11573	104.0
Q84571315	3	http://www.wikidata.org/entity/Q84571315	Concordia Corporate Tower	metre	http://www.wikidata.org/entity/Q11573	172.0
Q111367407	3	http://www.wikidata.org/entity/Q111367407	290 Queen Street	metre	http://www.wikidata.org/entity/Q11573	60.0
Q113187790	3	http://www.wikidata.org/entity/Q113187790	Level	metre	http://www.wikidata.org/entity/Q11573	111.3
Q106622689	2	http://www.wikidata.org/entity/Q106622689	Tigo Tower	metre	http://www.wikidata.org/entity/Q11573	83.0
Q55732204	1	http://www.wikidata.org/entity/Q55732204	Oesong Residences Tower 1	metre	http://www.wikidata.org/entity/Q11573	116.0
