Entity	QRank	item	itemLabel	unitLabel	unit	maxHeight
Q19492	70787	http://www.wikidata.org/entity/Q19492	Princess Tower	metre	http://www.wikidata.org/entity/Q11573	414.0
Q850547	70697	http://www.wikidata.org/entity/Q850547	Gate Tower Building	metre	http://www.wikidata.org/entity/Q11573	71.9
Q557933	70161	http://www.wikidata.org/entity/Q557933	Al Hamra Tower	metre	http://www.wikidata.org/entity/Q11573	412.0
Q321291	69844	http://www.wikidata.org/entity/Q321291	Main Tower	metre	http://www.wikidata.org/entity/Q11573	240.0
Q510272	68340	http://www.wikidata.org/entity/Q510272	Olympic Tower	metre	http://www.wikidata.org/entity/Q11573	221.0
Q47528623	68324	http://www.wikidata.org/entity/Q47528623	The Sky Taipei	metre	http://www.wikidata.org/entity/Q11573	280.0
Q1052475	68206	http://www.wikidata.org/entity/Q1052475	First Canadian Place	metre	http://www.wikidata.org/entity/Q11573	298.0
Q908703	67913	http://www.wikidata.org/entity/Q908703	Columbia Center	metre	http://www.wikidata.org/entity/Q11573	294.8
Q1144187	67701	http://www.wikidata.org/entity/Q1144187	One Liberty Plaza	metre	http://www.wikidata.org/entity/Q11573	226.0
Q20011078	65758	http://www.wikidata.org/entity/Q20011078	Sathorn Unique Tower	metre	http://www.wikidata.org/entity/Q11573	184.98
Q1054303	65593	http://www.wikidata.org/entity/Q1054303	Confinanzas Financial Center	metre	http://www.wikidata.org/entity/Q11573	171.0
Q391648	62953	http://www.wikidata.org/entity/Q391648	Cayan Tower	metre	http://www.wikidata.org/entity/Q11573	306.4
Q1141262	62898	http://www.wikidata.org/entity/Q1141262	Gate of Europe	metre	http://www.wikidata.org/entity/Q11573	114.0
