foodLabel	Sweet_Mean	STD	Salty_Mean	STD	Sour_Mean	STD	Bitter_Mean	STD	Umami_Mean	STD	Fat_Mean	STD
melted leek  	1.17	0.03	2.8	0.51	2.63	0.69	0	0	0.87	0.43	2.2	0.12
leek with vinaigrette	0.45	0.12	1.93	0.27	1.95	0.44	0.82	0.16	0.73	0.15	1.47	0.2
lemon	0.4	-	0.3	-	8.9	-	4.1	-	0.3	-	0.5	-
lentils	0.76	0.18	2.91	0.33	0.56	0.14	0.85	0.17	0.91	0.18	1.82	0.23
lentils salad	0.78	0.13	2.6	0.5	1.45	0.38	0.68	0.14	1.08	0.54	1.65	0.12
light lager	1.72	0.33	0.04	0.03	0.39	0.19	5.25	0.3	0.12	0.08	0.07	0.05
litchi 	4.1	-	0.4	-	1.1	-	2	-	0	-	0.5	-
litchi juice	5.4	-	0.5	-	0.5	-	1.6	-	0	-	0.8	-
lobster armorican	0.4	-	4.5	-	0.4	-	0.4	-	0.5	-	3	-
macaroons	3.35	0.41	0.07	0.07	1.88	0.42	0.48	0.09	0	0	1.55	0.23
canned mackerel 	0.5	0.17	2.67	0.19	0.87	0.18	0.53	0.28	0.6	0.21	0.67	0.09
marinated mackerel 	0	0	2.4	0	1.3	0.2	0.65	0.05	2.4	0.6	3.15	0.35
moist sponge cake	3.6	-	1.2	-	1.6	-	0.6	-	0.2	-	4	-
dried mango	4.3	-	0.3	-	1.7	-	0.3	-	0	-	1.9	-
mango	3.75	0.32	0.05	0.03	2.28	0.29	0.99	0.23	0.02	0.01	1.51	0.18
marinated mussels	0.7	0.2	1.4	0.1	5.65	0.05	1.4	0.4	1.05	0.15	0.5	0.1
mascarpone cheese	0.4	-	1.3	-	0.8	-	0.6	-	0.2	-	6.8	-
mashed potatoes	1.25	0.13	1.63	0.19	0.62	0.06	0.57	0.07	0.79	0.11	1.32	0.12
mashed potatoes with butter	1.48	0.38	2.78	0.24	0.62	0.21	0.32	0.15	1.15	0.35	2.47	0.51
pâté en croûte	0.54	0.09	3.18	0.15	1.27	0.11	0.65	0.12	1.51	0.09	2.49	0.14
meatballs	0.38	0.24	2.3	0.29	0.52	0.15	0.92	0.25	1.78	0.7	2.64	0.91
melon water	3.61	0.44	0.23	0.08	1.09	0.29	0.44	0.18	0.09	0.09	0.27	0.14
merguez sausage	0.13	0.07	3.57	0.25	0.09	0.05	0.27	0.1	2.49	0.22	4.05	0.37
meringue	5.33	0.07	0	0	0	0	0	0	0	0	0	0
milk chocolate	5.8	0.2	0.55	0.55	0.7	0.2	0.75	0.35	0	0	4.5	0.7
hot milk chocolate 	3.06	0.29	0.19	0.1	0.36	0.11	0.34	0.1	0.19	0.13	1.91	0.38
mimolette cheese	0	-	2.4	-	1.5	-	1.4	-	1.8	-	2.8	-
minced beef patty	0.44	0.06	2.52	0.21	0.81	0.17	0.32	0.08	1.23	0.12	2.34	0.2
mint	5.35	0.15	0.05	0.05	0.35	0.05	0.15	0.15	0.05	0.05	0.05	0.05
mix fruits juice	2.58	0.56	0.28	0.19	3.85	0.79	1.6	0.27	0	0	1.2	0.18
mix fruits salad	2.46	0.31	0.01	0.01	2.38	0.39	0.85	0.2	0.13	0.09	0.71	0.16
mix fruits stewed	3.33	0.29	0.03	0.02	2.47	0.24	0.39	0.14	0.01	0.01	0.59	0.19
mix vegetables and starch	0.97	0.18	2	0.18	0.98	0.22	1.01	0.17	0.44	0.17	2.25	0.25
mix vegetables cooked	1.06	0.11	2.52	0.14	0.97	0.11	0.79	0.09	0.53	0.1	1.9	0.2
mix vegetables juice	1.45	0.55	2.4	0.3	0.7	0	0.95	0.45	0	0	0.65	0.35
mix vegetables salad	1.26	0.15	3.32	0.26	2.38	0.3	1	0.19	0.84	0.16	2.45	0.3
mix vegetables soup	0.5	0.11	1.59	0.48	1.03	0.15	0.76	0.12	0.48	0.14	0.59	0.16
mix vegetables soup with cream	0.76	0.18	2.86	0.73	1.54	0.34	1.06	0.22	0.7	0.3	2.8	0.27
stewed mix vegetables 	4.1	-	2.2	-	0.6	-	1.7	-	1.8	-	5.6	-
mixed salads	0.65	0.15	2.63	0.38	3.15	0.29	1.74	0.36	0.5	0.11	2.17	0.28
mixed salad starch based with cold cuts	0.83	0.11	3.36	0.18	1.78	0.19	0.5	0.15	1.67	0.23	2.31	0.21
mixed salad starch based	0.92	0.32	2.37	0.42	1.27	0.18	1.07	0.31	1.25	0.32	3.3	0.54
tomato based mixed salad	2.08	0.23	1.4	0.2	1.54	0.17	0.32	0.2	0.78	0.24	1.42	0.29
mont d'or cheese	0.09	0.06	2.93	0.17	1.69	0.19	1.78	0.15	1.69	0.23	3.68	0.28
montbéliard sausage	0.33	0.21	3.2	0.4	1.33	0.36	0.83	0.22	1.3	0.13	2.78	0.21
morbier cheese	0.28	0.07	3.23	0.16	1.19	0.16	1.31	0.24	0.92	0.16	3.26	0.18
mortadella	0	0	3.11	0.32	1.51	0.2	1.06	0.23	1.73	0.23	2.98	0.2
morteau sausage	0.32	0.23	3.14	0.29	1.18	0.33	0.88	0.3	1.42	0.34	2.84	0.27
moussaka	0.9	0.13	3.76	0.44	0.9	0.46	1.18	0.43	2.24	0.56	4.46	0.65
mousse and liégeois with caramel	3.1	0.1	0.15	0.15	1.05	0.05	1.3	0.4	0.75	0.55	2.05	0.65
mousse and liégeois with chocolate	4.23	0.36	0.04	0.02	0.23	0.08	0.73	0.15	0.1	0.06	3.33	0.35
mousse and liégeois with coffee	3.63	0.23	0.07	0.07	0.33	0.18	0.57	0.32	0.33	0.2	1.83	0.15
muffin	3.25	0.35	0.6	0.3	0.5	0	0.15	0.15	0.15	0.15	1.65	0.55
munster cheese	0.43	0.21	3.63	0.42	1.18	0.53	1.75	0.09	0.6	0.25	3.65	0.39
Munster cheese avec pain	0.5	0.1	3.55	0.15	0.85	0.05	2.85	0.55	0.85	0.15	4.3	1.3
sautéed mushroom	0.78	0.16	3.09	0.32	1.15	0.24	1.1	0.2	1.97	0.46	2.59	0.46
mushrooms with sauce	0.34	0.12	2.78	0.24	1.46	0.23	1.13	0.12	1.64	0.16	2.21	0.19
muskmelon 	3.23	0.13	0.06	0.02	0.56	0.07	0.35	0.05	0.19	0.04	0.21	0.04
mussels with white wine cream sauce	0.24	0.11	3.35	0.22	1.02	0.26	0.88	0.17	2.45	0.34	1.06	0.24
nectarine	2.43	0.22	0.04	0.03	1.93	0.23	0.54	0.17	0.07	0.03	0.33	0.13
salty crackers	1.4	0.24	3.35	0.61	0.3	0.07	0.2	0	0.4	0.09	0.68	0.08
black olives	0.55	0.11	3.49	0.31	2.22	0.39	1.6	0.44	0.68	0.14	1.77	0.37
green olives	0.53	0.13	3.02	0.34	2.48	0.67	1.42	0.32	1.47	0.26	1.67	0.29
omelette with cheese	0.55	0.55	3	1	1.45	0.05	0.45	0.45	1.2	0.1	2.45	0.55
omelette with potatoes	0.68	0.27	3.02	0.25	0.35	0.17	0.3	0.13	1.05	0.16	2.73	0.41
omelette with viandox	0	-	2.9	-	0	-	0	-	3	-	2	-
omelette with vinegar	1.17	0.62	2.97	0.32	2.07	0.13	0.9	0.31	1.63	0.32	2.6	0.31
orange	2.79	0.21	0.01	0.01	2.37	0.26	0.8	0.14	0.14	0.05	0.08	0.04
orange juice	2.81	0.21	0.09	0.03	2.78	0.25	0.81	0.12	0.22	0.07	0.17	0.05
oriental pastries	4.3	0.55	0.18	0.08	0.78	0.18	0.71	0.15	0.05	0.05	3.25	0.55
oysters with lemon juice	0.43	0.07	3.63	0.35	3	0.06	1.07	0.09	2.77	0.38	1.97	0.03
oysters without lemon juice	0	0	3.45	0.45	1.7	0	2.15	0.45	1.7	0.1	0.7	0.1
paella	0.83	0.18	3.87	0.24	0.22	0.13	0.72	0.24	3.45	0.36	3.36	0.25
palm hearts with vinaigrette	1.5	0.4	2.8	0.61	4.33	0.78	0.37	0.37	0.2	0.1	2.17	1.07
parmesan cheese	0.17	0.17	5.37	0.13	0.43	0.43	0.13	0.13	0.57	0.03	5.93	0.09
passion fruit	1.93	0.4	0.02	0.02	6.2	0.79	0.22	0.2	0.08	0.07	0.2	0.18
unsalted pasta 	0.8	-	0.2	-	0.9	-	0.6	-	0.9	-	0.5	-
pasta with cheese and tomato sauce	1.07	0.23	2.62	0.18	2.5	0.27	0.6	0.28	0.9	0.27	2.27	0.48
pasta with cheese	0.53	0.16	2.69	0.2	0.65	0.24	0.45	0.21	0.48	0.15	2.25	0.27
pasta with gravy	0.66	0.16	2.41	0.35	0.86	0.18	0.51	0.15	1.19	0.2	1.81	0.19
pasta with ketchup	3.5	0.7	2.6	0.1	0.5	0.5	0	0	0	0	2.05	0.05
pasta with olive oil and cheese	0.4	0.14	2.97	0.19	0.02	0.02	0.05	0.03	0.15	0.15	2.83	0.37
pasta with salt and butter	0.56	0.09	3.15	0.14	0.34	0.08	0.14	0.04	0.66	0.08	2.52	0.1
pasta with salt	0.26	0.15	1.82	0.26	0.38	0.17	0.26	0.12	0.06	0.06	0.96	0.07
pasta with soy sauce	0	-	2.5	-	1.2	-	1.8	-	1.9	-	1	-
pasta with tomato sauce	1.1	0.15	1.8	0.29	1.3	0.24	0.6	0.12	0.79	0.26	2.07	0.3
pasta gratin	0.55	0.19	3	0.48	1.3	0.21	0.8	0.07	1.25	0.25	2.63	0.55
pasta with carbonara sauce	1	-	2.9	-	0.8	-	1.2	-	1.9	-	3.2	-
pâtés	0.55	0.09	3.32	0.16	1.36	0.1	0.62	0.09	1.61	0.07	3.09	0.16
peach 	2.9	0.19	0.04	0.02	1.85	0.24	0.53	0.11	0.2	0.07	0.29	0.08
stewed peach 	5.2	-	0.6	-	3.8	-	0.9	-	0	-	3.9	-
pear	3.15	0.16	0.08	0.05	1.15	0.11	0.52	0.07	0.11	0.03	0.2	0.06
peas	1.51	0.16	1.95	0.22	0.75	0.1	0.68	0.13	0.75	0.1	1.49	0.23
persimmon	3.6	0.87	0	0	0	0	0	0	0.13	0.09	1.6	0.61
petit suisse	3.5	0.57	0.02	0.02	1.22	0.15	0.42	0.21	0.48	0.28	2.4	0.59
petit suisse with sugar and cream	3.43	0.21	0	0	1.48	0.08	0	0	0	0	3.98	0.16
petit suisse with sugar 	2.85	0.2	0.05	0.03	1.81	0.16	0.52	0.1	0.33	0.08	2.25	0.23
pickled pork with lentils	0.9	-	4.9	-	0.6	-	1.2	-	3.5	-	4.9	-
pies	1.08	0.08	4.33	0.33	2.15	0.27	1.03	0.34	1.83	0.26	3.95	0.38
roast pigeon	0	-	2.4	-	0.6	-	0.3	-	1.3	-	1.4	-
pineapple	3.54	0.29	0.03	0.01	2.18	0.31	0.89	0.17	0.08	0.05	0.37	0.11
pineapple in syrup	3.58	0.48	0	0	1.63	0.35	0.68	0.39	0	0	0.7	0.41
pineapple juice	4.15	0.45	0.25	0.25	2.15	0.65	0.8	0	0	0	0.4	0.4
dry salted pistachios	1.13	0.35	2.27	0.72	0.53	0.09	1	0.06	0.63	0.24	1.73	0.33
pizzas	0.86	0.1	3.46	0.16	1.31	0.13	0.51	0.1	1.43	0.15	2.65	0.2
plaice with lemon juice	0.38	0.1	1.06	0.49	2.7	0.15	0.88	0.06	2.9	0.29	2	0.08
plaice without lemon juice	0.8	-	4.1	-	0.6	-	1.1	-	3	-	3.7	-
plums 	3.42	0.18	0.06	0.02	1.71	0.12	1.05	0.11	0.13	0.05	0.32	0.07
pomelo 	1.5	0.23	0.1	0.07	3.33	0.39	2.23	0.3	0.05	0.03	0.05	0.03
pork with gravy	0.36	0.17	2.6	0.39	1.57	0.37	0.57	0.24	1.27	0.32	2.49	0.34
roast pork 	0.43	0.07	2.96	0.13	0.51	0.09	0.38	0.06	1.68	0.11	2.81	0.13
potato chips	0.7	0.13	4.54	0.27	0.42	0.12	0.44	0.13	0.94	0.22	3.19	0.48
potato croquettes	0.45	0.1	3.4	0.19	0.34	0.09	0.18	0.05	0.72	0.12	3.1	0.25
potato gratin 	0.83	0.22	3.41	0.17	0.51	0.16	0.15	0.06	1.33	0.18	2.72	0.29
fried potatoes  	0.72	0.09	3.04	0.18	0.47	0.07	0.34	0.05	0.56	0.08	2.99	0.18
potato salad	0.6	0.31	1.83	0.59	1.2	0.26	0.4	0.26	1.17	0.12	1.93	0.09
boiled potatoes 	0.6	0.2	2.3	0.12	0.13	0.09	0.43	0.12	0	0	1.33	0.81
potatoes with cheese	1	0.38	2.45	0.59	1.23	0.28	0.75	0.17	0.28	0.16	3.68	0.43
potatoes with ketchup	1.93	0.54	2.13	0.62	4.47	0.41	0.48	0.29	0.82	0.18	2.52	0.5
potatoes with mayonnaise	0.65	0.4	4.03	0.47	0.68	0.27	0.45	0.18	0.18	0.18	4.08	1.04
potatoes with salt and dairy fat	1.41	0.18	2.69	0.31	0.97	0.19	0.48	0.17	0.76	0.17	2.06	0.21
potatoes with salt	1.07	0.12	2.47	0.22	0.37	0.1	0.34	0.08	0.56	0.13	1.03	0.17
potatoes with sauce	0.74	0.22	2.33	0.25	0.75	0.21	0.45	0.16	1.08	0.2	2.4	0.64
potatoes without salt	1.22	0.37	0.32	0.15	0.25	0.11	0.48	0.19	0.28	0.13	0.33	0.11
pound cake	3.87	0.22	0.85	0.24	0.19	0.07	0.21	0.09	0.14	0.08	2.55	0.46
provolone cheese	0.47	0.19	4.8	0.31	0.5	0.4	1.27	0.03	0.87	0.03	5.67	0.22
dried prunes	3.15	0.67	0.1	0.1	1.68	0.03	1.03	0.24	0.38	0.15	0.45	0.45
broiled quail 	0	0	2.27	0.07	0.43	0.13	0.33	0.09	1.43	0.38	1.7	0.2
faisselle	0	0	1.4	0.49	2.23	1.43	0.63	0.38	0.1	0.1	1.43	0.19
faisselle with sugar	3.06	0.5	0.28	0.18	2.36	0.45	0.4	0.25	0.22	0.16	1.9	0.31
fromage blanc with fruits	2.87	0.21	0.07	0.04	2.11	0.3	0.75	0.15	0.41	0.14	2.03	0.25
fromage blanc light with sugar	3.12	0.27	0.08	0.05	1.82	0.16	0.28	0.19	0.02	0.02	2.73	0.72
fromage blanc with fruits	3.12	0.2	0.05	0.04	1.71	0.24	0.57	0.12	0.47	0.17	1.73	0.17
quiches	0.74	0.11	3.19	0.24	0.88	0.16	0.5	0.12	0.93	0.18	2.84	0.18
quinoa	0.85	0.15	2.55	0.15	2.1	0.3	1.1	0.4	1.15	0.15	1.55	0.35
rabbit with gravy	0.28	0.15	2.74	0.11	1.25	0.19	1.05	0.17	1.65	0.17	1.9	0.19
roast rabbit 	0.37	0.19	1.93	0.37	1.07	0.09	0.7	0.1	1.37	0.26	1.43	0.2
raclette cheese	0.42	0.16	3.85	0.26	0.33	0.11	0.33	0.14	1.07	0.52	3.75	0.37
radish	0.55	0.07	0.37	0.14	0.83	0.23	0.95	0.11	0.25	0.11	0.27	0.12
radish with salt and butter	0.27	0.08	3.99	0.43	0.77	0.19	1.48	0.33	0.24	0.12	3.26	0.5
radish with salt	0.19	0.08	3.01	0.31	1.39	0.12	0.65	0.11	0.45	0.15	0.24	0.1
raspberry	2.2	0.23	0.08	0.03	2.49	0.45	0.36	0.09	0.04	0.02	0.09	0.05
raspberry with whipped cream	1.55	0.45	0	0	2.55	0.85	0.45	0.45	0.05	0.05	1.45	0.45
raspberry jam	6	-	0.9	-	3	-	0.8	-	0	-	1.6	-
raspberry cake	3.43	0.47	0.03	0.03	1.37	0.17	0.4	0.26	0.03	0.03	2.93	0.52
raviolis	1.38	0.17	2.48	0.33	1.64	0.35	0.18	0.09	1.36	0.25	2.69	0.37
reblochon cheese	0.23	0.13	3	0.27	0.25	0.25	0.73	0.5	0.25	0.15	4.05	0.47
red cabbage with vinaigrette	0.22	0.22	1.97	0.25	1.8	0.34	1.18	0.18	0.8	0.17	1.42	0.29
red mullet with lemon juice	0	0	2.93	0.26	1.83	0.29	0.83	0.1	2.53	0.73	1.13	0.39
red mullet	0.8	-	4.9	-	0.8	-	1.9	-	4.3	-	1.7	-
redcurrant	1	0	0.05	0.05	5.8	1	0.55	0.55	0.45	0.45	0.15	0.15
redcurrant juice	1.4	-	0.1	-	4.8	-	1.7	-	0.1	-	0.1	-
rhubarb jam	5.8	-	0	-	1.6	-	0	-	0	-	3	-
stewed rhubarb 	1.75	0.05	0.05	0.05	3.9	0.1	0.55	0.25	0.05	0.05	0.05	0.05
rice pudding	3.57	0.32	0.1	0.08	0.48	0.23	0.26	0.11	0.07	0.05	2.48	0.42
rillettes fish	0.6	0.21	4.32	0.3	1.55	0.76	0.73	0.44	1.87	0.58	4.4	0.77
rillettes pork 	0.39	0.11	3.16	0.33	1.23	0.14	0.87	0.16	2.18	0.2	3.86	0.25
risotto	0.8	0.08	2.86	0.21	1	0.1	0.76	0.2	1.34	0.27	2.58	0.63
roasted and salted peanuts	0.7	0.26	4.35	0.58	0.45	0.14	0.75	0.17	0.53	0.25	2.43	0.63
rondelé cheese	0.6	0.22	3.23	0.74	1.3	0.54	1.1	0.39	0.58	0.25	2.73	0.5
roquefort cheese	0.13	0.1	4.13	0.18	1.74	0.25	2.24	0.35	1.26	0.19	3.47	0.32
rusk with butter and jam	5	-	4.3	-	0	-	0	-	0	-	4.1	-
rusk with butter	0	-	1.4	-	0	-	0.7	-	0	-	2.2	-
rusk with jam	4.7	0.26	1	0.5	1.1	0.25	1.17	1.02	0.03	0.03	0.77	0.33
rusk with Nutella spread	5.25	0.15	0.75	0.05	0	0	0	0	0.15	0.15	2.3	1.2
rye bread with butter	1.7	0.9	0.75	0.75	0.95	0.05	0.6	0.6	0	0	4.7	1.4
rye bread without butter	1.45	0.45	1.8	0.3	0.6	0.1	0.8	0	0.2	0	0.2	0
saint-agur cheese	0	-	4.8	-	2.8	-	2.5	-	1.3	-	5.3	-
saint-agur cheese with bread	1	-	4.2	-	3.4	-	2.5	-	1.2	-	4.5	-
saint-félicien cheese	0.45	0.04	3.52	0.46	1.15	0.19	1.23	0.26	0.65	0.17	4.98	0.51
saint-marcelin cheese	0.5	0.06	3.15	0.27	1.33	0.31	1.97	0.04	0.72	0.15	4.02	0.47
saint-moret cheese	0	0	3.9	0.5	0	0	1	1	0	0	3.75	0.65
saint-moret with bread	0.7	0.15	2.9	1.06	1.43	0.87	0.6	0.31	0.3	0.3	3.43	0.33
saint-paulin cheese	0.88	0.23	2.55	0.55	0.28	0.28	0.2	0.2	0.53	0.32	3	0.06
salad with vinaigrette	0.28	0.05	2.05	0.14	2.07	0.14	0.84	0.07	0.35	0.06	1.78	0.11
boiled salmon 	0.87	0.32	3.1	0.56	1.31	0.28	0.33	0.18	1.83	0.55	2.21	0.6
grilled salmon 	0.89	0.06	3.14	0.26	1.54	0.21	0	0	1.94	0.4	3.19	0.18
smoked salmon 	0.95	0.15	4.15	0.29	0.82	0.21	0.45	0.19	2.46	0.4	3.82	0.39
salsify	0.93	0.18	2.62	0.27	1.54	0.31	0.85	0.15	0.88	0.12	1.8	0.28
salted butter caramel	5.6	0.3	1.82	0.26	0.78	0.33	0.62	0.21	0.3	0.18	2.84	0.6
salted cake	0.48	0.13	2.76	0.2	0.93	0.2	0.61	0.13	0.69	0.16	2.38	0.3
salted pies	0.98	0.2	3.61	0.22	1.31	0.43	0.43	0.23	1.96	0.3	2.59	0.4
Samos cheese	0.8	-	2.8	-	1.7	-	0.2	-	0.1	-	3.1	-
samosas	0.7	0.3	2.33	0.58	0.07	0.07	0.23	0.23	1.83	0.47	3.03	0.71
sandwich with cold cuts	0.7	0.2	2.36	0.33	1.13	0.24	0.77	0.09	1.37	0.23	2.42	0.43
sangria cocktail	3.8	0.26	0	0	2.51	0.59	0.2	0.2	0	0	0	0
canned sardines	0.36	0.18	3.57	0.31	0.82	0.19	1.01	0.24	1.69	0.46	3.88	0.44
canned sardines with lemon juice	0	0	3.68	0.35	4.64	0.84	0	0	0.26	0.26	5	0.53
grilled sardines	0.37	0.37	3.47	0.35	1.6	0.36	0.5	0.29	2.07	0.6	3.07	0.59
sauerkraut	0.4	0.15	3.96	0.33	2.45	0.32	1.24	0.11	2	0.24	3.45	0.38
scallops	0.9	0.1	2.97	0.26	1.27	0.49	0.43	0.3	1.37	0.38	2.2	0.57
sautéed scallops	0.96	0.13	3.12	0.16	0.83	0.15	0.42	0.14	1.98	0.33	2.51	0.24
semolina	0.65	0.14	2.43	0.29	0.78	0.19	0.61	0.15	0.84	0.21	1.39	0.23
semolina pudding	2.66	0.13	0.04	0.02	0.26	0.19	0.2	0.13	0.38	0.33	1.46	0.13
shepherd's pie	0.6	0.26	3.29	0.31	0.73	0.29	0.36	0.15	1.91	0.22	2.7	0.27
shortbread	4.38	0.25	1.27	0.16	0.35	0.11	0.24	0.06	0.31	0.1	1.56	0.23
shrimp with mayonnaise	0.62	0.1	2.92	0.22	1.04	0.18	0.56	0.13	2.02	0.26	1.63	0.22
smoked ham	0.12	0.12	3.6	0.58	0.94	0.27	0.86	0.24	1.38	0.22	2.42	0.17
snails	0	-	2	-	0.4	-	0.9	-	0	-	4	-
soft boiled eggs	1.3	0.3	2.3	0.2	0.45	0.15	0.15	0.15	1.05	0.25	2.35	0.85
grilled sole 	0.25	0.25	1.8	0.5	1.05	0.05	0.9	0.3	0.85	0.35	0.85	0.55
grilled sole with lemon juice	0.4	0.2	1.33	0.66	3.67	0.38	1.5	0.45	2.9	0.49	1.67	0.48
sour fruit candy	5.4	0.1	0	0	9.25	0.45	1.8	0.3	0	0	0.4	0.4
sourdough bread with butter	0.8	-	2.6	-	0.7	-	0.8	-	0.7	-	2.1	-
sourdough bread	0.93	0.43	1.83	0.37	1.07	0.58	0.27	0.09	0.2	0.12	0.47	0.24
soy sprouts with soy sauce	0.97	0.5	3.67	0.27	1.97	0.77	0.27	0.27	3.97	0.67	0	0
sparkling water	0.13	0.08	1.38	0.17	0.2	0.07	0.43	0.18	0.05	0.05	0	0
sparkling water with lemon juice	0.08	0.08	0.65	0.27	3.7	0.65	1	0.25	0	0	0	0
Mousseux	1.21	0.11	0.1	0.03	1.64	0.31	0.61	0.1	0.28	0.12	0.16	0.05
spinach with cream	0.56	0.14	2.37	0.22	1.17	0.17	1.31	0.1	0.79	0.15	1.57	0.16
spread with bread	5.5	0.5	0.83	0.09	1.2	0.5	0.6	0.32	0	0	3.93	0.49
spring rolls	1.21	0.25	3.4	0.54	1.68	0.45	0.18	0.18	3.21	0.34	3.94	0.55
squid	0.6	0.55	2.4	0.55	0.6	0.46	0.87	0.23	1.57	0.67	2.57	1.4
stew	1.2	-	3.7	-	0	-	0	-	0.9	-	1.7	-
ratatouille	1.16	0.18	2.87	0.23	1.61	0.23	1.29	0.17	0.55	0.15	1.43	0.16
sticks and pretzels	0.76	0.18	3.15	0.42	0.44	0.14	0.33	0.1	0.4	0.18	1.15	0.57
strawberry 	2.12	0.15	0.04	0.02	1.41	0.26	0.13	0.07	0.03	0.02	0.03	0.02
strawberry with cream and sugar	3.76	0.3	0	0	1.33	0.19	0.3	0.12	0.13	0.08	1.76	0.27
strawberry with lemon juice	4.1	-	0	-	4.2	-	0	-	0	-	0	-
strawberry with sugar	3.42	0.17	0.04	0.03	1.96	0.19	0.69	0.12	0.33	0.12	0.26	0.1
strawberry jam	7.4	-	0.4	-	1.8	-	0.8	-	0	-	1.9	-
strawberry juice	6.2	-	0.5	-	1.8	-	0.3	-	0	-	0.9	-
strong lager	0.32	0.07	0.02	0.02	4.08	0.37	3.88	0.4	0.04	0.04	0.28	0.08
stuffed chicken	0.6	-	4.3	-	1.1	-	0.3	-	3.2	-	5.3	-
stuffed salty pancake	0.98	0.16	3.39	0.24	0.75	0.2	0.51	0.14	1.57	0.31	3.17	0.44
stuffed puff pastries	0.83	0.26	3.65	0.37	1.09	0.27	1.16	0.35	1.71	0.45	4.15	0.77
stuffed tomatoes	0.92	0.23	3.18	0.16	1.94	0.37	0.37	0.14	0.85	0.31	2.71	0.23
stuffed veal	0.24	0.1	3.55	0.2	0.59	0.27	0.41	0.15	1.98	0.28	2.7	0.23
stuffed zucchini	1.5	-	3.8	-	0	-	0.9	-	3	-	2.9	-
surimi with mayonnaise	1.32	0.14	3.84	0.22	1.64	0.27	0	0	3.04	0.54	3.02	0.34
sweet cookies with chocolate	4.12	0.32	0.41	0.16	0.43	0.11	0.48	0.14	0.24	0.11	2.29	0.35
sweet cookies with fruits	4.25	0.33	0.35	0.13	1.22	0.32	0.75	0.23	0.42	0.21	1.3	0.29
sweet corn	1.35	0.33	0.62	0.46	0.28	0.18	0.23	0.18	0.05	0.05	0.48	0.31
sweet corn with mayonnaise	1	0.5	2.45	1.05	0.65	0.65	0.4	0.4	0	0	2.2	0
sweet corn with vinaigrette	2.04	0.46	2.52	0.54	1.74	0.57	0.76	0.31	0.92	0.21	2.22	0.54
sweet flaky cookies	2.7	0.1	0	0	1.45	0.15	0.9	0.2	1.1	0.2	1.2	0.1
sweet pancake	1.1	-	0	-	0	-	0	-	0	-	3.3	-
sweet pancake with Nutella spread	5.42	0.52	0.52	0.32	0.12	0.12	0.26	0.26	0.24	0.17	4.1	0.82
sweet pancake with maple syrup	4.77	0.18	0.5	0.5	0	0	0	0	0.17	0.17	3.27	1.13
sweet pancake with jam	5.18	0.45	0.62	0.32	1.02	0.38	0.26	0.21	0.3	0.23	1.96	0.39
sweet pancake with marmalade of bitter orange	2.2	-	0.9	-	1.8	-	2.9	-	1.1	-	3	-
sweet pancake with stewed fruits	2.1	-	0.1	-	0.1	-	0.2	-	0.3	-	0.5	-
sweet pancake with sugar	3.37	0.38	0.19	0.09	0.11	0.06	0.1	0.05	0.13	0.06	2.04	0.77
sauterne wines	4	0.43	0.04	0.04	2.61	0.37	0.33	0.23	0.01	0.01	0.01	0.01
syrup with water	3.81	0.59	0.1	0.07	0.79	0.24	0.89	0.47	0.01	0.01	0.36	0.15
taboulé	1.32	0.12	2.79	0.21	1.64	0.22	0.92	0.12	1.18	0.08	1.91	0.17
tapenade	0.8	0.25	4.23	0.79	1.3	1	1.5	0.15	1.03	0.37	3.23	0.55
tarama	1.85	0.15	2	0.4	0	0	0.2	0.2	0.8	0.3	3.75	0.05
Tartare cheese	0.2	0.13	2.56	0.16	0.96	0.18	0.14	0.09	0.24	0.07	3.78	0.38
tartiflette 	0.71	0.24	4.11	0.34	0.61	0.34	0.13	0.08	1.51	0.35	4.36	0.37
flavoured tea with sugar	3.63	0.32	0.07	0.07	0.66	0.31	1.18	0.19	0	0	0.13	0.1
flavoured tea without sugar	0.21	0.07	0.06	0.03	1.3	0.24	2.35	0.37	0.58	0.22	0.18	0.08
tea	0.13	0.07	0.08	0.03	0.96	0.26	2.9	0.36	0.08	0.04	0.07	0.03
tea with sugar 	2.66	0.36	0.01	0.01	0.01	0.01	1.2	0.18	0.01	0.01	0.07	0.06
tiramisu	3.47	0.51	0.17	0.06	1.01	0.37	1.21	0.23	0.02	0.02	4.8	0.46
toast with butter and jam	3.5	0.4	0.7	0.7	0.75	0.75	0.4	0.4	0.1	0.1	2.85	0.05
toast with butter	0.65	0.25	2.3	0.1	0.5	0.5	0.4	0.4	0.45	0.45	2	0.8
toast with jam	3.4	-	1.8	-	0	-	0	-	0	-	0	-
toast of foie gras	1.23	0.26	3.4	0.51	0.93	0.12	0.3	0.3	1.8	0.1	4.03	0.03
cooked tomato	1.12	0.17	1.98	0.38	1.88	0.28	0.68	0.18	0.32	0.03	0.92	0.21
tomato	1.03	0.23	0.38	0.22	1.94	0.26	0.32	0.13	0.22	0.11	0.28	0.13
tomato soup	0.75	0.17	3.65	0.34	2.57	0.19	0.78	0.2	0.56	0.21	1.99	0.29
tomato with mayonnaise	0.97	0.03	2.83	0.52	2.27	0.17	1.03	0.27	0.83	0.43	2.5	0.35
tomato with salt and olive oil	0.65	0.05	2.65	0.45	1.25	0.45	0	0	0.1	0.1	1.9	1
