foodLabel	Sweet_Mean	STD	Salty_Mean	STD	Sour_Mean	STD	Bitter_Mean	STD	Umami_Mean	STD	Fat_Mean	STD
brillat-savarin cheese	0.55	0.15	3.1	0.7	0.85	0.15	1.4	0.6	0.95	0.15	5.45	0.05
brioche 	2.4	0.15	0.98	0.14	0.3	0.09	0.25	0.07	0.16	0.05	1.45	0.23
broccoli 	0.3	-	0.8	-	0.7	-	0.9	-	0.3	-	0.3	-
broccoli purée	1.4	-	1.1	-	0	-	0.8	-	1.4	-	1	-
broccoli with cream	1.66	0.2	3.1	0.58	0.1	0.1	0.24	0.24	0.08	0.08	1.14	0.09
brown rice	0.49	0.22	2.14	0.21	0.24	0.13	0.12	0.09	0.69	0.22	1.24	0.27
brussels sprouts	0.98	0.32	2.88	0.27	1.68	0.21	1.7	0.49	1.33	0.23	1.93	0.14
bulgur	1.04	0.04	3.45	0.12	1.84	0.16	0.85	0.25	1.6	0.09	2.61	0.17
bun	2.25	0.03	0.68	0.38	0.25	0.25	0.05	0.05	0	0	0.98	0.4
bun with butter	1.6	-	1.2	-	0	-	0	-	0	-	4.3	-
bun with chocolate	3.2	-	0.5	-	1.6	-	2.9	-	0	-	1.1	-
bun with jam	4.5	-	1.4	-	1.1	-	1.1	-	1.1	-	2.1	-
bun with bitter orange marmelade	2.7	-	0	-	0	-	3.1	-	0	-	3.2	-
burbot	0.4	0.4	2.35	0.65	1.2	0.2	0.85	0.25	1.5	0.4	2.15	0.35
calf with gravy	0.91	0.19	3.28	0.35	1.15	0.24	0.5	0.16	1.41	0.22	2.79	0.39
roast calf	0.59	0.09	2.74	0.27	0.89	0.12	0.54	0.11	1.45	0.22	2.24	0.21
grilled calf livers	0.57	0.16	2.51	0.22	1.1	0.15	1.18	0.2	1.63	0.16	1.86	0.2
calf head with vinaigrette	0	0	2.35	0.15	1.6	0.6	0.8	0.2	1.6	0.4	1.9	0.9
camembert cheese	0.22	0.05	3.25	0.09	0.69	0.13	1.81	0.12	0.62	0.11	4.39	0.1
camembert cheese with bread	0.8	0.09	3.65	0.2	1.81	0.21	2.09	0.14	1.06	0.05	4.22	0.16
cancoillotte cheese	0.17	0.06	3.01	0.13	0.84	0.17	0.66	0.11	0.8	0.11	3.22	0.27
candied almond	2.93	0.12	0.2	0.1	2.03	0.19	3.53	0.22	0	0	0.67	0.07
liquorice candy	3.23	0.73	0.67	0.38	0.9	0.35	1.07	0.12	0.33	0.33	0.73	0.2
cantal cheese	0.2	0.2	3.7	0.4	2	0.2	1.45	1.15	1.35	0.65	3.8	1
caramel custard	4.16	0.53	0.16	0.14	1.1	0.39	0.78	0.26	0.46	0.26	2.62	0.47
cooked carrot	1.8	0.16	2.1	0.25	1.07	0.1	0.57	0.1	0.63	0.11	1.4	0.2
carrot juice	2.4	-	0.5	-	1	-	0.8	-	0	-	0.2	-
carrot	2.4	0	0.7	0	0.35	0.35	1.25	0.05	0	0	0	0
Carré frais	0.13	0.09	3.08	0.29	1.1	0.38	0.05	0.05	0.28	0.24	3.23	0.45
Carré frais with bread	0.28	0.09	1.22	0.18	1.48	0.15	0.76	0.15	0	0	2.88	0.28
raw carrot with lemon juice	1.48	0.12	2.49	0.2	1.97	0.16	0.36	0.09	0.57	0.1	1.73	0.12
carrot puree with cream	2.8	0.2	3.15	0.35	0.9	0.3	0.75	0.45	1.1	0.1	2.3	0.5
dry salted cashew nut	1.45	0.35	1.85	0.75	0.2	0.1	0.6	0.3	0.15	0.05	1.15	0.05
cassoulet	1.37	0.33	2.27	0.44	1.17	0.12	0.8	0.31	1.6	0.64	3	0.12
cauliflower 	0.9	0.26	0.68	0.4	0.88	0.3	1.15	0.23	0.28	0.14	0.55	0.15
cauliflower with sauce	0.53	0.1	2.45	0.15	1.17	0.13	0.92	0.09	1.14	0.12	1.69	0.23
celeriac purée	0.75	0.09	2.58	0.8	0.75	0.32	0.75	0.38	0.35	0.26	2	0.42
celeriac remoulade	0.93	0.2	2.2	0.35	1.21	0.19	0.98	0.21	0.42	0.1	1.5	0.18
cervelas	0.5	0.21	2.88	0.29	1.24	0.15	0.51	0.13	1.53	0.24	2.24	0.3
champagne	1.01	0.18	0.12	0.03	1.42	0.22	0.26	0.1	0.13	0.07	0.1	0.04
champignons crus with vinaigrette	3.1	-	1.4	-	4.4	-	1.1	-	0.9	-	1.7	-
chaource cheese	0	-	3.9	-	0	-	1.8	-	1.9	-	5.2	-
friands au fromage	1.1	0.5	2.6	0.1	0.2	0	0.15	0.05	0.35	0.05	1.3	0.5
cherry	2.81	0.2	0.02	0.02	1.79	0.2	0.69	0.12	0.17	0.08	0.27	0.1
chestnut	1.78	0.33	0.3	0.15	0.5	0.21	0.4	0.17	0.73	0.22	2.48	0.41
chestnut purée	7.3	-	0	-	0	-	0	-	0	-	5.4	-
chicken cordon bleu	0.23	0.23	3.9	0.7	0.6	0.23	0.28	0.1	1.3	0.58	3.08	0.52
chicken cutlet	0.41	0.1	3.26	0.16	0.71	0.21	0.57	0.12	1.81	0.2	2.67	0.19
chicken with gravy	0.59	0.12	3.22	0.41	1.72	0.48	0.55	0.21	1.3	0.25	2.53	0.36
chicken roast	0.35	0.08	2.54	0.15	0.7	0.11	0.42	0.09	1.28	0.14	2.38	0.22
chili con carne	0.8	-	1.6	-	1.3	-	0	-	0.2	-	2.9	-
chinese fried rice	0.5	-	2.4	-	1.6	-	1.5	-	1.2	-	1.7	-
chipolata sausage	0.7	0.15	4.19	0.29	1.23	0.2	0.35	0.21	1.49	0.3	3.24	0.32
chocolate custard	3.75	0.17	0.18	0.07	0.58	0.11	1.25	0.21	0.25	0.1	3.15	0.36
chocolate bar	5.27	0.27	0.43	0.16	1.01	0.23	0.75	0.2	0.02	0.02	3.45	0.44
pain au chocolat	3.07	0.35	0.25	0.12	0.42	0.13	0.22	0.07	0.03	0.03	2.35	0.35
chocolate cake	3.91	0.25	0.39	0.1	0.55	0.1	0.84	0.13	0.21	0.08	2.6	0.23
chocolate cereal bar	2.95	0.05	1.15	0.25	0.45	0.05	1.8	0.1	0	0	0.85	0.15
chocolate chip cookie	2.85	0.52	0.85	0.27	0.43	0.15	0.63	0.22	0.3	0.3	0.98	0.11
chocolate croissant	3	-	0.3	-	1.6	-	1.1	-	0	-	3.9	-
chocolate with nut	5.47	0.73	0.27	0.18	0.2	0.12	0.87	0.34	0.27	0.15	5.27	0.37
chorizo	0.9	-	4	-	1.1	-	0.9	-	2.1	-	5	-
cider	1.99	0.37	0.1	0.05	1.88	0.24	0.8	0.26	0.06	0.03	0.04	0.02
clafoutis	3.96	0.34	0.13	0.1	1.71	0.23	0.37	0.23	0.36	0.24	1.81	0.36
clementine	2.99	0.21	0.04	0.01	3.23	0.33	0.47	0.1	0.17	0.05	0.26	0.07
cocktail with alcohol	3.66	0.5	0.17	0.17	1.79	0.71	0.04	0.04	0	0	0.39	0.25
coconut	3.3	-	0	-	1.4	-	0	-	0.3	-	1.2	-
steamed cod with mayonnaise	0.16	0.14	2.63	0.42	1.23	0.16	0.81	0.18	1.47	0.16	1.74	0.3
grilled cod with lemon juice	0.67	0.33	3.13	0.13	1.6	0.29	0.43	0.43	2.43	0.75	2.03	0.2
cod in aluminium wrapper with lemon juice	0.5	0.29	2.37	0.64	1.53	0.23	0.4	0.26	2.17	0.23	1.9	0.15
cod fritters 	1.7	0.38	2.9	0.2	0.07	0.07	0.1	0.1	2.17	0.61	2.2	0.12
coffee with sugar	2.52	0.2	0.02	0.02	1.28	0.33	3.16	0.38	0.06	0.04	0	0
coffee without sugar	0.08	0.02	0.05	0.01	1.17	0.11	2.17	0.1	0.48	0.06	0.23	0.04
coffee custard	3.1	0.1	0.15	0.15	1	0.3	1.1	0.2	0.85	0.65	2.1	0.5
cola soda	4.93	0.26	0.05	0.04	4.34	0.27	1.26	0.15	0.05	0.04	0.51	0.1
comté cheese	0.75	0.09	3.44	0.11	0.91	0.11	0.69	0.09	0.92	0.1	3.48	0.15
cooked ham	0.58	0.1	3.1	0.17	0.61	0.12	0.26	0.07	1.67	0.14	2.06	0.1
cooked ham with salted butter	1	-	4.4	-	1.4	-	0	-	1.6	-	3.4	-
cooked ham with gherkin	0.64	0.07	2.7	0.11	3.46	0.42	0.7	0.1	1.54	0.23	1.74	0.32
cooked ham leg	0.45	0.14	3.45	0.42	0.98	0.26	0.48	0.14	1.55	0.56	2.38	0.85
coulommiers cheese	0.05	0.03	3.57	0.1	0.45	0.16	1.99	0.16	0.66	0.14	4.37	0.08
country-style bread	1.18	0.14	1.91	0.11	0.66	0.14	0.41	0.12	0.37	0.1	0.45	0.1
country-style bread with butter and jam	2.6	-	0.1	-	1	-	1.6	-	0	-	0.9	-
country-style bread with butter	0.7	-	3.7	-	1.6	-	0.8	-	0.6	-	7.8	-
couscous	0.94	0.06	3.09	0.22	1.78	0.34	1.24	0.23	2.09	0.19	3.06	0.67
semi-skimmed cow's milk 	1.1	0.6	0.7	0.5	0.6	0.3	0.25	0.05	0.45	0.05	1.1	0
brown crab with mayonnaise	1.2	-	4	-	2	-	1.3	-	1.3	-	2.9	-
brown crab with vinaigrette	0.3	-	2.5	-	0.1	-	0.1	-	0.2	-	0.8	-
cracker with butter and jam	5.1	-	0	-	1	-	0	-	0	-	2.7	-
cracker with dairy fat	1.33	0.22	1.73	0.35	0.68	0.4	0.23	0.14	0.23	0.14	3.93	0.39
cracker with jam	3.93	0.89	1.63	0.11	0.83	0.43	0.48	0.21	0.23	0.19	0.83	0.24
cracker with Nutella spread	5.8	-	0.5	-	0	-	0	-	0.2	-	3.5	-
cream cake	4.98	0.26	0.48	0.12	0.39	0.11	0.16	0.06	0.09	0.05	3.85	0.3
crème brûlée	4.24	0.23	0.11	0.06	1.32	0.12	0.95	0.15	0.04	0.04	2.99	0.22
