artist - title	wond	tran	tend	nost	peac	joya	ener	sadn	tens
M.I.A. - Paper Planes	8.509803922	4.409313725	0.511764706	8.823529412	3.933088235	27.90931373	14.76323529	0.0	12.31029412
Miley Cyrus - Party In The U.S.A	21.2797619	5.598214286	3.728571429	14.13839286	12.85	41.72708333	19.14107143	1.047619048	6.039285714
Moby - Porcelain	13.41397849	9.137096774	12.55806452	18.48521505	20.42795699	10.44892473	3.632258065	0.0	0.735483871
Namika - Lieblingsmensch	13.43023256	6.728682171	10.54844961	11.78391473	15.03333333	20.93410853	5.536046512	0.0	4.648449612
Neil Diamind - Sweet Caroline	23.00694444	13.90277778	13.54305556	18.33333333	4.1	32.86805556	11.05	0.0	0.0
Neil Diamond - I Am I Said	9.086666667	1.68	6.6	10.31166667	8.77	9.311666667	6.65	3.38	1.536
Nina Simone - Feeling Good	12.11337209	15.29844961	17.13992248	19.2122093	17.53992248	30.04651163	23.9996124	0.387596899	1.953488372
Oasis - All Around The World	13.77619048	9.342857143	11.24142857	22.33095238	19.1752381	18.81547619	4.944285714	3.307142857	2.64
Oasis - Don't Look Back In Anger	10.30555556	7.595679012	14.0962963	31.84722222	15.00030864	18.47037037	3.987037037	10.03395062	6.560493827
Of Monsters and Men - Empire	13.55147059	10.50490196	17.22058824	12.73161765	17.95490196	14.75980392	10.41029412	3.490196078	2.847794118
Oli Brown - Speechless	5.486486486	2.018018018	6.632432432	9.679054054	13.18063063	28.68581081	12.09054054	2.846846847	6.375675676
OutKast - Roses	9.532608696	0.0	3.682608696	5.054347826	12.12391304	27.21195652	11.66086957	0.0	7.104347826
Owl City - Fireflies	18.87984496	5.13372093	5.977906977	20.63468992	16.35348837	21.77131783	8.427906977	0.992248062	1.827906977
Panic! at the Disco - Nine In The Afternoon	16.44642857	11.00297619	12.8797619	14.35267857	10.43630952	27.93928571	14.46607143	2.380952381	4.714285714
Paramore - The Only Exception	8.698198198	5.407657658	10.73783784	20.13738739	15.91756757	9.774774775	3.243243243	9.362612613	3.052252252
Pharrell Williams - Happy	20.40340909	5.276515152	3.381818182	7.877840909	18.10681818	44.53143939	22.06704545	0.0	3.827651515
Phil Collins - In The Air Tonight	15.92454955	11.70720721	13.31036036	36.53265766	21.45157658	14.82545045	10.73918919	8.486486486	6.144144144
Pink - Who Knew	10.78205128	8.032051282	9.753846154	27.23397436	8.168269231	23.20705128	21.51346154	11.75641026	1.523076923
